Type,id,location,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,BR_CW_Coal,BR_CW,True,False,True,False,True,True,True,Electricity,True,False,True,True,Coal,False,co2_emitted_BR,True,CO2,False,True,Coal,False,168,50,0.08,20,67600.0,0,168,100,0.1,elec_CW,4.4,5307500.0,0.1,0.3,100,0.586,coal_imported,2.564102564,0.1608403,
ThermalPower,BR_N_Coal,BR_N,True,False,True,False,True,True,True,Electricity,True,False,True,True,Coal,False,co2_emitted_BR,True,CO2,False,True,Coal,False,168,50,0.08,20,67600.0,0,168,100,0.1,elec_N,4.4,5307500.0,0.1,0.3,100,0.586,coal_imported,2.564102564,0.1608403,
ThermalPower,BR_NE_Coal,BR_NE,True,False,True,False,True,True,True,Electricity,True,False,True,True,Coal,False,co2_emitted_BR,True,CO2,False,True,Coal,False,168,50,0.08,20,67600.0,0,168,100,0.1,elec_NE,4.4,5307500.0,0.1,0.3,100,0.586,coal_imported,2.564102564,0.1608403,
ThermalPower,BR_NE_Coal_Existing,BR_NE,True,False,True,False,True,True,True,Electricity,False,False,True,True,Coal,False,co2_emitted_BR,True,CO2,False,True,Coal,False,168,50,0.08,20,389253.1,0,168,1085,0.1,elec_NE,7.2,0.0,0.1,0.3,100,0.586,coal_imported,2.631578947,0.1608403,
ThermalPower,BR_S_Coal,BR_S,True,False,True,False,True,True,True,Electricity,True,False,True,True,Coal,False,co2_emitted_BR,True,CO2,False,True,Coal,False,168,50,0.08,20,389253.1,0,168,100,0.1,elec_S,7.53,2677402.3,0.1,0.3,100,0.586,coal_BR,2.564102564,0.1608403,
ThermalPower,BR_S_Coal_Existing,BR_S,True,False,True,False,True,True,True,Electricity,False,False,True,True,Coal,False,co2_emitted_BR,True,CO2,False,True,Coal,False,168,50,0.08,20,389253.1,0,168,695,0.1,elec_S,7.5256,0.0,0.1,0.4,100,0.586,coal_BR,3.591586613,0.232980498,
ThermalPower,BR_SE_Coal,BR_SE,True,False,True,False,True,True,True,Electricity,True,False,True,True,Coal,False,co2_emitted_BR,True,CO2,False,True,Coal,False,168,50,0.08,20,67600.0,0,168,100,0.1,elec_SE,4.4,5307500.0,0.1,0.3,100,0.586,coal_imported,2.564102564,0.1608403,
