Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--electricity_production,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSElectricity,BR_N_biomass_wood_thermal_plant,BR_N,Biomass,TRUE,1.06,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_N,30,5470.84,218.83,6.3,0,system/availability_monthly.csv,Availability_One,Electricity,TRUE,FALSE,elec_N,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_N
BECCSElectricity,BR_NE_biomass_wood_thermal_plant,BR_NE,Biomass,TRUE,1.06,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_NE,30,5470.84,218.83,6.3,0,system/availability_monthly.csv,Availability_One,Electricity,TRUE,FALSE,elec_NE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_NE
BECCSElectricity,BR_CW_biomass_wood_thermal_plant,BR_CW,Biomass,TRUE,1.06,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_CW,30,5470.84,218.83,6.3,0,system/availability_monthly.csv,Availability_One,Electricity,TRUE,FALSE,elec_CW,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CW
BECCSElectricity,BR_SE_biomass_wood_thermal_plant,BR_SE,Biomass,TRUE,1.06,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_SE,30,5470.84,218.83,6.3,0,system/availability_monthly.csv,Availability_One,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SE
BECCSElectricity,BR_S_biomass_wood_thermal_plant,BR_S,Biomass,TRUE,1.06,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_S,30,5470.84,218.83,6.3,0,system/availability_monthly.csv,Availability_One,Electricity,TRUE,FALSE,elec_S,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_S
BECCSElectricity,BR_N_biomass_wood_thermal_plant_CCS,BR_N,Biomass,TRUE,1.06,1.403,1.558,0.1558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_N,30,6995.41,279.82,28.28,0,system/availability_monthly.csv,Availability_One,Electricity,TRUE,FALSE,elec_N,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_N
BECCSElectricity,BR_NE_biomass_wood_thermal_plant_CCS,BR_NE,Biomass,TRUE,1.06,1.403,1.558,0.1558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_NE,30,6995.41,279.82,28.28,0,system/availability_monthly.csv,Availability_One,Electricity,TRUE,FALSE,elec_NE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_NE
BECCSElectricity,BR_CW_biomass_wood_thermal_plant_CCS,BR_CW,Biomass,TRUE,1.06,1.403,1.558,0.1558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_CW,30,6995.41,279.82,28.28,0,system/availability_monthly.csv,Availability_One,Electricity,TRUE,FALSE,elec_CW,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CW
BECCSElectricity,BR_SE_biomass_wood_thermal_plant_CCS,BR_SE,Biomass,TRUE,1.06,1.403,1.558,0.1558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_SE,30,6995.41,279.82,28.28,0,system/availability_monthly.csv,Availability_One,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SE
BECCSElectricity,BR_S_biomass_wood_thermal_plant_CCS,BR_S,Biomass,TRUE,1.06,1.403,1.558,0.1558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_S,30,6995.41,279.82,28.28,0,system/availability_monthly.csv,Availability_One,Electricity,TRUE,FALSE,elec_S,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_S
