Type,id,location,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--has_capacity,edges--h2_edge--integer_decisions,edges--h2_edge--can_retire,edges--h2_edge--constraints--MinFlowConstraint,edges--h2_edge--constraints--MinDownTimeConstraint,edges--h2_edge--constraints--CapacityConstraint,edges--h2_edge--constraints--MinUpTimeConstraint,edges--h2_edge--constraints--RampingLimitConstraint,edges--h2_edge--unidirectional,edges--h2_edge--commodity,edges--h2_edge--can_expand,edges--h2_edge--uc,edges--h2_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--fuel_edge--start_vertex,edges--elec_edge--start_vertex,edges--h2_edge--min_down_time,edges--h2_edge--lifetime,edges--h2_edge--wacc,edges--h2_edge--capital_recovery_period,edges--h2_edge--fixed_om_cost,edges--h2_edge--existing_capacity,edges--h2_edge--min_up_time,edges--h2_edge--capacity_size,edges--h2_edge--ramp_down_fraction,edges--h2_edge--end_vertex,edges--h2_edge--variable_om_cost,edges--h2_edge--investment_cost,edges--h2_edge--ramp_up_fraction,edges--h2_edge--min_flow_fraction,edges--h2_edge--startup_cost,edges--co2_captured_edge--end_vertex,transforms--fuel_consumption,transforms--emission_rate,transforms--capture_rate,transforms--electricity_consumption,Note
ThermalHydrogenCCS,BR_CW_SMRH2_CCS,BR_CW,True,NaturalGas,False,True,Electricity,False,False,True,True,False,True,False,True,True,Hydrogen,True,False,True,co2_emitted_BR,True,CO2,False,True,CO2Captured,False,True,Hydrogen,natgas_BR,elec_BR_DF,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_DF,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_DF,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogenCCS,BR_N_SMRH2_CCS,BR_N,True,NaturalGas,False,True,Electricity,False,False,True,True,False,True,False,True,True,Hydrogen,True,False,True,co2_emitted_BR,True,CO2,False,True,CO2Captured,False,True,Hydrogen,natgas_BR,elec_BR_AC,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_AC,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_AC,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogenCCS,BR_NE_SMRH2_CCS,BR_NE,True,NaturalGas,False,True,Electricity,False,False,True,True,False,True,False,True,True,Hydrogen,True,False,True,co2_emitted_BR,True,CO2,False,True,CO2Captured,False,True,Hydrogen,natgas_BR,elec_BR_AL,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_AL,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_AL,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogenCCS,BR_S_SMRH2_CCS,BR_S,True,NaturalGas,False,True,Electricity,False,False,True,True,False,True,False,True,True,Hydrogen,True,False,True,co2_emitted_BR,True,CO2,False,True,CO2Captured,False,True,Hydrogen,natgas_BR,elec_BR_PR,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_PR,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_PR,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
ThermalHydrogenCCS,BR_SE_SMRH2_CCS,BR_SE,True,NaturalGas,False,True,Electricity,False,False,True,True,False,True,False,True,True,Hydrogen,True,False,True,co2_emitted_BR,True,CO2,False,True,CO2Captured,False,True,Hydrogen,natgas_BR,elec_BR_ES,12,30,0.1,20,34880.68,0,22,668.931,0.5,h2_BR_ES,7.28,1340438.7,0.5,0.85,0.254,co2_captured_BR_ES,1.479,0.007,0.174,0.0612,https://www.osti.gov/servlets/purl/1862910
