Type,id,location,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost_25-A,edges--edge--fixed_om_cost_25-B,edges--edge--fixed_om_cost_25-C,edges--edge--variable_om_cost,edges--edge--investment_cost_25-A,edges--edge--investment_cost_25-B,edges--edge--investment_cost_25-C,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,Note
VRE,BR_RN_rooftop_pv,BR_RN,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,4245.2172,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_RN_rooftop_pv,elec_BR_RN,0,100,https://doi.org/10.2172/1236153
VRE,BR_PB_rooftop_pv,BR_PB,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,4925.718,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_PB_rooftop_pv,elec_BR_PB,0,100,https://doi.org/10.2172/1236153
VRE,BR_PE_rooftop_pv,BR_PE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,12090.7584,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_PE_rooftop_pv,elec_BR_PE,0,100,https://doi.org/10.2172/1236153
VRE,BR_AL_rooftop_pv,BR_AL,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,4142.3508,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_AL_rooftop_pv,elec_BR_AL,0,100,https://doi.org/10.2172/1236153
VRE,BR_SE_rooftop_pv,BR_SE,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,2947.518,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_SE_rooftop_pv,elec_BR_SE,0,100,https://doi.org/10.2172/1236153
VRE,BR_BA_rooftop_pv,BR_BA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,20074.7736,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_BA_rooftop_pv,elec_BR_BA,0,100,https://doi.org/10.2172/1236153
VRE,BR_MG_rooftop_pv,BR_MG,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,24589.7568,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_MG_rooftop_pv,elec_BR_MG,0,100,https://doi.org/10.2172/1236153
VRE,BR_ES_rooftop_pv,BR_ES,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,4619.6304,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_ES_rooftop_pv,elec_BR_ES,0,100,https://doi.org/10.2172/1236153
VRE,BR_RJ_rooftop_pv,BR_RJ,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,17841.3312,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_RJ_rooftop_pv,elec_BR_RJ,0,100,https://doi.org/10.2172/1236153
VRE,BR_SP_rooftop_pv,BR_SP,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,48466.2948,30226,34000,28186,0,2635524,2519000,2434995,system/availability_rooftop_pv_2025.csv,BR_SP_rooftop_pv,elec_BR_SP,0,100,https://doi.org/10.2172/1236153
